0:0:0:0:0:0:0:1 - - [23/May/2018:20:54:56 -0300] "GET /relatorios/faces/resources/img/andre.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:54:56 -0300] "GET /relatorios/faces/resources/img/Gustavo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:54:56 -0300] "GET /relatorios/faces/resources/img/Xiao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:54:56 -0300] "GET /relatorios/faces/resources/img/vinicius.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:40 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:40 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:40 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:41 -0300] "GET /relatorios/faces/Contact.xhtml HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:41 -0300] "GET /relatorios/faces/resources/img/andre.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:41 -0300] "GET /relatorios/faces/resources/img/Gustavo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:41 -0300] "GET /relatorios/faces/resources/img/vinicius.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:41 -0300] "GET /relatorios/faces/resources/img/Xiao.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:42 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [23/May/2018:20:56:42 -0300] "GET /relatorios/faces/Contact.xhtml HTTP/1.1" 200 1528
